"","ISO3","income_group","region","decile","pop"
"400","GRD","Emerging Market Economies","Latin America and the Caribbean","3",0
"401","GTM","Emerging Market Economies","Latin America and the Caribbean","3",1944609
"402","GIN","Low Income Developing Countries","Sub-Sahara Africa","3",954065
"403","GUY","Emerging Market Economies","Latin America and the Caribbean","3",90808
"404","HTI","Low Income Developing Countries","Latin America and the Caribbean","3",1684310
"405","HND","Low Income Developing Countries","Latin America and the Caribbean","3",611789
"406","HKG","Advanced Economies","Advanced Economies","3",768629
"407","HUN","Emerging Market Economies","Emerging and Developing Europe","3",913471
"408","ISL","Advanced Economies","Advanced Economies","3",13748
"409","IND","Emerging Market Economies","Emerging and Developing Asia","3",183278009
"410","IDN","Emerging Market Economies","Emerging and Developing Asia","3",54156047
"411","IRN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",8869501
"412","IRQ","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",4385965
"413","IRL","Advanced Economies","Advanced Economies","3",991467
"414","ISR","Advanced Economies","Advanced Economies","3",0
"415","ITA","Advanced Economies","Advanced Economies","3",8708972
"416","JAM","Emerging Market Economies","Latin America and the Caribbean","3",184186
"417","JPN","Advanced Economies","Advanced Economies","3",16238399
"418","JOR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",965795
"419","KAZ","Emerging Market Economies","Caucasus and Central Asia","3",1216446
"420","KEN","Low Income Developing Countries","Sub-Sahara Africa","3",5422396
"421","KOR","Advanced Economies","Advanced Economies","3",7944224
"422","KWT","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",351844
"423","KGZ","Low Income Developing Countries","Caucasus and Central Asia","3",506947
"424","LAO","Low Income Developing Countries","Emerging and Developing Asia","3",1042685
"425","LVA","Advanced Economies","Advanced Economies","3",177261
"426","LBN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",989759
"427","LSO","Low Income Developing Countries","Sub-Sahara Africa","3",274488
"428","LBR","Low Income Developing Countries","Sub-Sahara Africa","3",395357
"429","LBY","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",632214
"430","LTU","Advanced Economies","Advanced Economies","3",235736
"431","LUX","Advanced Economies","Advanced Economies","3",22671
"432","MDG","Low Income Developing Countries","Sub-Sahara Africa","3",2450665
"433","MWI","Low Income Developing Countries","Sub-Sahara Africa","3",2245141
"434","MYS","Emerging Market Economies","Emerging and Developing Asia","3",2956020
"435","MLI","Low Income Developing Countries","Sub-Sahara Africa","3",2532343
"436","MLT","Advanced Economies","Advanced Economies","3",58352
"437","MUS","Emerging Market Economies","Sub-Sahara Africa","3",107593
"438","MEX","Emerging Market Economies","Latin America and the Caribbean","3",11154338
"439","MDA","Low Income Developing Countries","Emerging and Developing Europe","3",328447
"440","MNG","Emerging Market Economies","Emerging and Developing Asia","3",104185
"441","MNE","Emerging Market Economies","Emerging and Developing Europe","3",64857
"442","MAR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",4559746
"443","MOZ","Low Income Developing Countries","Sub-Sahara Africa","3",4266187
"444","MMR","Low Income Developing Countries","Emerging and Developing Asia","3",6717422
"445","NAM","Emerging Market Economies","Sub-Sahara Africa","3",287277
"446","NPL","Low Income Developing Countries","Emerging and Developing Asia","3",3336762
"447","NLD","Advanced Economies","Advanced Economies","3",2078134
"448","NZL","Advanced Economies","Advanced Economies","3",501049
"449","NIC","Low Income Developing Countries","Latin America and the Caribbean","3",973995
"450","NER","Low Income Developing Countries","Sub-Sahara Africa","3",4014480
"451","NGA","Low Income Developing Countries","Sub-Sahara Africa","3",21047136
"452","NOR","Advanced Economies","Advanced Economies","3",491327
"453","OMN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",469974
"454","PAK","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",33096280
"455","PAN","Emerging Market Economies","Latin America and the Caribbean","3",218981
"456","PNG","Low Income Developing Countries","Emerging and Developing Asia","3",881703
"457","PRY","Emerging Market Economies","Latin America and the Caribbean","3",434617
"458","PER","Emerging Market Economies","Latin America and the Caribbean","3",2401502
"459","PHL","Emerging Market Economies","Emerging and Developing Asia","3",10942257
"460","POL","Emerging Market Economies","Emerging and Developing Europe","3",4923713
"461","PRT","Advanced Economies","Advanced Economies","3",1203040
"462","PRI","Advanced Economies","Advanced Economies","3",422012
"463","QAT","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0
"464","ROU","Emerging Market Economies","Emerging and Developing Europe","3",1352629
"465","RUS","Emerging Market Economies","Emerging and Developing Europe","3",21632187
"466","RWA","Low Income Developing Countries","Sub-Sahara Africa","3",1267744
"467","WSM","Emerging Market Economies","Emerging and Developing Asia","3",16897
"468","SMR","Advanced Economies","Advanced Economies","3",3348
"469","SAU","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",1650793
"470","SEN","Low Income Developing Countries","Sub-Sahara Africa","3",1977716
"471","SRB","Emerging Market Economies","Emerging and Developing Europe","3",1001067
"472","SYC","Emerging Market Economies","Sub-Sahara Africa","3",13873
"473","SLE","Low Income Developing Countries","Sub-Sahara Africa","3",512447
"474","SGP","Advanced Economies","Advanced Economies","3",910042
"475","SVK","Advanced Economies","Advanced Economies","3",593349
"476","SVN","Advanced Economies","Advanced Economies","3",241243
"477","SLB","Low Income Developing Countries","Emerging and Developing Asia","3",82835
"478","SOM","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","3",1315764
"479","ZAF","Emerging Market Economies","Sub-Sahara Africa","3",6238893
"480","SSD","Low Income Developing Countries","Sub-Sahara Africa","3",1801064
"481","ESP","Advanced Economies","Advanced Economies","3",7143213
"482","LKA","Emerging Market Economies","Emerging and Developing Asia","3",2139189
"483","SDN","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","3",5445401
"484","SUR","Emerging Market Economies","Latin America and the Caribbean","3",123012
"485","SWE","Advanced Economies","Advanced Economies","3",1438447
"486","CHE","Advanced Economies","Advanced Economies","3",984404
"487","SYR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",2274829
"488","TWN","Advanced Economies","Advanced Economies","3",7399253
"489","TJK","Low Income Developing Countries","Caucasus and Central Asia","3",1594460
"490","TZA","Low Income Developing Countries","Sub-Sahara Africa","3",6255961
"491","THA","Emerging Market Economies","Emerging and Developing Asia","3",7028613
"492","TLS","Low Income Developing Countries","Emerging and Developing Asia","3",113534
"493","TGO","Low Income Developing Countries","Sub-Sahara Africa","3",1165709
"494","TON","Emerging Market Economies","Emerging and Developing Asia","3",11823
"495","TTO","Emerging Market Economies","Latin America and the Caribbean","3",203428
"496","TUN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",1656739
"497","TUR","Emerging Market Economies","Emerging and Developing Europe","3",7329220
"498","TKM","Emerging Market Economies","Caucasus and Central Asia","3",2015959
"499","UGA","Low Income Developing Countries","Sub-Sahara Africa","3",5251859
"500","UKR","Emerging Market Economies","Emerging and Developing Europe","3",6157127
"501","ARE","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",1342065
"502","GBR","Advanced Economies","Advanced Economies","3",8555565
"503","USA","Advanced Economies","Advanced Economies","3",30016894
"504","URY","Emerging Market Economies","Latin America and the Caribbean","3",161630
"505","UZB","Low Income Developing Countries","Caucasus and Central Asia","3",4425271
"506","VUT","Emerging Market Economies","Emerging and Developing Asia","3",16013
"507","VEN","Emerging Market Economies","Latin America and the Caribbean","3",2982118
"508","VNM","Low Income Developing Countries","Emerging and Developing Asia","3",11946011
"509","ZMB","Low Income Developing Countries","Sub-Sahara Africa","3",1677375
"510","ZWE","Low Income Developing Countries","Sub-Sahara Africa","3",1272816
"511","AFG","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","4",2540871
"512","ALB","Emerging Market Economies","Emerging and Developing Europe","4",305196
"513","DZA","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",3260085
"514","AGO","Emerging Market Economies","Sub-Sahara Africa","4",2025377
"515","ARG","Emerging Market Economies","Latin America and the Caribbean","4",3796975
"516","ARM","Emerging Market Economies","Caucasus and Central Asia","4",212401
"517","AUS","Advanced Economies","Advanced Economies","4",1959489
"518","AUT","Advanced Economies","Advanced Economies","4",505952
"519","AZE","Emerging Market Economies","Caucasus and Central Asia","4",800550
"520","BHR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",0
"521","BGD","Low Income Developing Countries","Emerging and Developing Asia","4",19358557
"522","BRB","Emerging Market Economies","Latin America and the Caribbean","4",37264
"523","BLR","Emerging Market Economies","Emerging and Developing Europe","4",416965
"524","BEL","Advanced Economies","Advanced Economies","4",1364790
"525","BLZ","Emerging Market Economies","Latin America and the Caribbean","4",0
"526","BEN","Low Income Developing Countries","Sub-Sahara Africa","4",1060272
"527","BTN","Low Income Developing Countries","Emerging and Developing Asia","4",72835
"528","BOL","Emerging Market Economies","Latin America and the Caribbean","4",497856
"529","BIH","Emerging Market Economies","Emerging and Developing Europe","4",246380
"530","BWA","Emerging Market Economies","Sub-Sahara Africa","4",288706
"531","BRA","Emerging Market Economies","Latin America and the Caribbean","4",11277933
"532","BRN","Emerging Market Economies","Emerging and Developing Asia","4",39361
"533","BGR","Emerging Market Economies","Emerging and Developing Europe","4",408538
"534","BFA","Low Income Developing Countries","Sub-Sahara Africa","4",1472016
"535","BDI","Low Income Developing Countries","Sub-Sahara Africa","4",1309449
"536","CPV","Emerging Market Economies","Sub-Sahara Africa","4",38816
"537","KHM","Low Income Developing Countries","Emerging and Developing Asia","4",1947352
"538","CMR","Low Income Developing Countries","Sub-Sahara Africa","4",2074836
"539","CAN","Advanced Economies","Advanced Economies","4",1932225
"540","TCD","Low Income Developing Countries","Sub-Sahara Africa","4",1569700
"541","CHL","Emerging Market Economies","Latin America and the Caribbean","4",1743486
"542","CHN","Emerging Market Economies","Emerging and Developing Asia","4",171519677
"543","COL","Emerging Market Economies","Latin America and the Caribbean","4",3095246
"544","COD","Low Income Developing Countries","Sub-Sahara Africa","4",12102929
"545","COG","Low Income Developing Countries","Sub-Sahara Africa","4",211451
"546","CRI","Emerging Market Economies","Latin America and the Caribbean","4",396716
"547","CIV","Low Income Developing Countries","Sub-Sahara Africa","4",1855783
"548","HRV","Emerging Market Economies","Emerging and Developing Europe","4",299884
"549","CYP","Advanced Economies","Advanced Economies","4",0
"550","CZE","Advanced Economies","Advanced Economies","4",1509782
"551","DNK","Advanced Economies","Advanced Economies","4",803524
"552","DJI","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","4",49501
"553","DMA","Emerging Market Economies","Latin America and the Caribbean","4",1649
"554","DOM","Emerging Market Economies","Latin America and the Caribbean","4",769159
"555","ECU","Emerging Market Economies","Latin America and the Caribbean","4",945177
"556","EGY","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",12781266
"557","SLV","Emerging Market Economies","Latin America and the Caribbean","4",434423
"558","EST","Advanced Economies","Advanced Economies","4",71960
"559","SWZ","Emerging Market Economies","Sub-Sahara Africa","4",92256
"560","ETH","Low Income Developing Countries","Sub-Sahara Africa","4",12841799
"561","FJI","Emerging Market Economies","Emerging and Developing Asia","4",55852
"562","FIN","Advanced Economies","Advanced Economies","4",389436
"563","FRA","Advanced Economies","Advanced Economies","4",6802753
"564","GAB","Emerging Market Economies","Sub-Sahara Africa","4",141752
"565","GMB","Low Income Developing Countries","Sub-Sahara Africa","4",220615
"566","GEO","Emerging Market Economies","Caucasus and Central Asia","4",333539
"567","DEU","Advanced Economies","Advanced Economies","4",7867438
"568","GHA","Low Income Developing Countries","Sub-Sahara Africa","4",2432769
"569","GRC","Advanced Economies","Advanced Economies","4",924023
"570","GRD","Emerging Market Economies","Latin America and the Caribbean","4",24289
"571","GTM","Emerging Market Economies","Latin America and the Caribbean","4",1652215
"572","GIN","Low Income Developing Countries","Sub-Sahara Africa","4",1983434
"573","GUY","Emerging Market Economies","Latin America and the Caribbean","4",85288
"574","HTI","Low Income Developing Countries","Latin America and the Caribbean","4",1281520
"575","HND","Low Income Developing Countries","Latin America and the Caribbean","4",637243
"576","HKG","Advanced Economies","Advanced Economies","4",229500
"577","HUN","Emerging Market Economies","Emerging and Developing Europe","4",798613
"578","ISL","Advanced Economies","Advanced Economies","4",6196
"579","IND","Emerging Market Economies","Emerging and Developing Asia","4",134555430
"580","IDN","Emerging Market Economies","Emerging and Developing Asia","4",30070155
"581","IRN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",7153194
"582","IRQ","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",4311562
"583","IRL","Advanced Economies","Advanced Economies","4",246516
"584","ISR","Advanced Economies","Advanced Economies","4",2412443
"585","ITA","Advanced Economies","Advanced Economies","4",6219847
"586","JAM","Emerging Market Economies","Latin America and the Caribbean","4",445152
"587","JPN","Advanced Economies","Advanced Economies","4",11281130
"588","JOR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",297918
"589","KAZ","Emerging Market Economies","Caucasus and Central Asia","4",1065944
"590","KEN","Low Income Developing Countries","Sub-Sahara Africa","4",5356850
"591","KOR","Advanced Economies","Advanced Economies","4",11462091
"592","KWT","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",0
"593","KGZ","Low Income Developing Countries","Caucasus and Central Asia","4",695533
"594","LAO","Low Income Developing Countries","Emerging and Developing Asia","4",653022
"595","LVA","Advanced Economies","Advanced Economies","4",122095
"596","LBN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",1167873
"597","LSO","Low Income Developing Countries","Sub-Sahara Africa","4",173406
"598","LBR","Low Income Developing Countries","Sub-Sahara Africa","4",272080
"599","LBY","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",602458
"600","LTU","Advanced Economies","Advanced Economies","4",175161
"601","LUX","Advanced Economies","Advanced Economies","4",33225
"602","MDG","Low Income Developing Countries","Sub-Sahara Africa","4",2380385
"603","MWI","Low Income Developing Countries","Sub-Sahara Africa","4",2122740
"604","MYS","Emerging Market Economies","Emerging and Developing Asia","4",2923467
"605","MLI","Low Income Developing Countries","Sub-Sahara Africa","4",1802208
"606","MLT","Advanced Economies","Advanced Economies","4",35012
"607","MUS","Emerging Market Economies","Sub-Sahara Africa","4",141527
"608","MEX","Emerging Market Economies","Latin America and the Caribbean","4",10356042
"609","MDA","Low Income Developing Countries","Emerging and Developing Europe","4",431374
"610","MNG","Emerging Market Economies","Emerging and Developing Asia","4",110403
"611","MNE","Emerging Market Economies","Emerging and Developing Europe","4",42632
"612","MAR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",4280753
"613","MOZ","Low Income Developing Countries","Sub-Sahara Africa","4",3384880
"614","MMR","Low Income Developing Countries","Emerging and Developing Asia","4",6387211
"615","NAM","Emerging Market Economies","Sub-Sahara Africa","4",154986
"616","NPL","Low Income Developing Countries","Emerging and Developing Asia","4",5321232
"617","NLD","Advanced Economies","Advanced Economies","4",1240070
"618","NZL","Advanced Economies","Advanced Economies","4",301345
"619","NIC","Low Income Developing Countries","Latin America and the Caribbean","4",394763
"620","NER","Low Income Developing Countries","Sub-Sahara Africa","4",1741787
"621","NGA","Low Income Developing Countries","Sub-Sahara Africa","4",19407310
"622","NOR","Advanced Economies","Advanced Economies","4",331304
"623","OMN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",307900
"624","PAK","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",23367983
"625","PAN","Emerging Market Economies","Latin America and the Caribbean","4",198964
"626","PNG","Low Income Developing Countries","Emerging and Developing Asia","4",1229082
"627","PRY","Emerging Market Economies","Latin America and the Caribbean","4",378747
"628","PER","Emerging Market Economies","Latin America and the Caribbean","4",2197699
"629","PHL","Emerging Market Economies","Emerging and Developing Asia","4",7971031
"630","POL","Emerging Market Economies","Emerging and Developing Europe","4",4148315
"631","PRT","Advanced Economies","Advanced Economies","4",814765
"632","PRI","Advanced Economies","Advanced Economies","4",272647
"633","QAT","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",827197
"634","ROU","Emerging Market Economies","Emerging and Developing Europe","4",1298283
"635","RUS","Emerging Market Economies","Emerging and Developing Europe","4",11678315
"636","RWA","Low Income Developing Countries","Sub-Sahara Africa","4",1127232
"637","WSM","Emerging Market Economies","Emerging and Developing Asia","4",10761
"638","SMR","Advanced Economies","Advanced Economies","4",2406
"639","SAU","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",2275141
"640","SEN","Low Income Developing Countries","Sub-Sahara Africa","4",1063814
"641","SRB","Emerging Market Economies","Emerging and Developing Europe","4",527798
"642","SYC","Emerging Market Economies","Sub-Sahara Africa","4",9541
"643","SLE","Low Income Developing Countries","Sub-Sahara Africa","4",1058353
"644","SGP","Advanced Economies","Advanced Economies","4",0
"645","SVK","Advanced Economies","Advanced Economies","4",677077
"646","SVN","Advanced Economies","Advanced Economies","4",196751
"647","SLB","Low Income Developing Countries","Emerging and Developing Asia","4",66266
"648","SOM","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","4",804903
"649","ZAF","Emerging Market Economies","Sub-Sahara Africa","4",6170753
"650","SSD","Low Income Developing Countries","Sub-Sahara Africa","4",809004
"651","ESP","Advanced Economies","Advanced Economies","4",3914143
"652","LKA","Emerging Market Economies","Emerging and Developing Asia","4",1991323
"653","SDN","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","4",6506592
"654","SUR","Emerging Market Economies","Latin America and the Caribbean","4",60018
"655","SWE","Advanced Economies","Advanced Economies","4",713571
"656","CHE","Advanced Economies","Advanced Economies","4",864421
"657","SYR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",1729636
"658","TWN","Advanced Economies","Advanced Economies","4",3991629
"659","TJK","Low Income Developing Countries","Caucasus and Central Asia","4",716640
"660","TZA","Low Income Developing Countries","Sub-Sahara Africa","4",4694813
"661","THA","Emerging Market Economies","Emerging and Developing Asia","4",5738161
"662","TLS","Low Income Developing Countries","Emerging and Developing Asia","4",108931
"663","TGO","Low Income Developing Countries","Sub-Sahara Africa","4",266801
"664","TON","Emerging Market Economies","Emerging and Developing Asia","4",0
"665","TTO","Emerging Market Economies","Latin America and the Caribbean","4",153768
"666","TUN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",1453965
"667","TUR","Emerging Market Economies","Emerging and Developing Europe","4",5199385
"668","TKM","Emerging Market Economies","Caucasus and Central Asia","4",0
"669","UGA","Low Income Developing Countries","Sub-Sahara Africa","4",4478784
"670","UKR","Emerging Market Economies","Emerging and Developing Europe","4",3875793
"671","ARE","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","4",188324
"672","GBR","Advanced Economies","Advanced Economies","4",5870392
"673","USA","Advanced Economies","Advanced Economies","4",16477232
"674","URY","Emerging Market Economies","Latin America and the Caribbean","4",91546
"675","UZB","Low Income Developing Countries","Caucasus and Central Asia","4",3785381
"676","VUT","Emerging Market Economies","Emerging and Developing Asia","4",11009
"677","VEN","Emerging Market Economies","Latin America and the Caribbean","4",2754101
"678","VNM","Low Income Developing Countries","Emerging and Developing Asia","4",9665771
"679","ZMB","Low Income Developing Countries","Sub-Sahara Africa","4",1876431
"680","ZWE","Low Income Developing Countries","Sub-Sahara Africa","4",1320547
"681","AFG","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","5",2660109
"682","ALB","Emerging Market Economies","Emerging and Developing Europe","5",255557
"683","DZA","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",2683755
"684","AGO","Emerging Market Economies","Sub-Sahara Africa","5",1569076
"685","ARG","Emerging Market Economies","Latin America and the Caribbean","5",2166594
"686","ARM","Emerging Market Economies","Caucasus and Central Asia","5",220125
"687","AUS","Advanced Economies","Advanced Economies","5",1197177
"688","AUT","Advanced Economies","Advanced Economies","5",533582
"689","AZE","Emerging Market Economies","Caucasus and Central Asia","5",692711
"690","BHR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",0
"691","BGD","Low Income Developing Countries","Emerging and Developing Asia","5",17124182
"692","BRB","Emerging Market Economies","Latin America and the Caribbean","5",17288
"693","BLR","Emerging Market Economies","Emerging and Developing Europe","5",362606
"694","BEL","Advanced Economies","Advanced Economies","5",1346077
"695","BLZ","Emerging Market Economies","Latin America and the Caribbean","5",46163
"696","BEN","Low Income Developing Countries","Sub-Sahara Africa","5",852005
"697","BTN","Low Income Developing Countries","Emerging and Developing Asia","5",61559
"698","BOL","Emerging Market Economies","Latin America and the Caribbean","5",588090
"699","BIH","Emerging Market Economies","Emerging and Developing Europe","5",251483
"700","BWA","Emerging Market Economies","Sub-Sahara Africa","5",211130
"701","BRA","Emerging Market Economies","Latin America and the Caribbean","5",9070546
"702","BRN","Emerging Market Economies","Emerging and Developing Asia","5",35429
"703","BGR","Emerging Market Economies","Emerging and Developing Europe","5",359983
"704","BFA","Low Income Developing Countries","Sub-Sahara Africa","5",1534317
"705","BDI","Low Income Developing Countries","Sub-Sahara Africa","5",1369291
"706","CPV","Emerging Market Economies","Sub-Sahara Africa","5",40681
"707","KHM","Low Income Developing Countries","Emerging and Developing Asia","5",1509796
"708","CMR","Low Income Developing Countries","Sub-Sahara Africa","5",3076237
"709","CAN","Advanced Economies","Advanced Economies","5",1568680
"710","TCD","Low Income Developing Countries","Sub-Sahara Africa","5",1677090
"711","CHL","Emerging Market Economies","Latin America and the Caribbean","5",1506992
"712","CHN","Emerging Market Economies","Emerging and Developing Asia","5",132176778
"713","COL","Emerging Market Economies","Latin America and the Caribbean","5",3400194
"714","COD","Low Income Developing Countries","Sub-Sahara Africa","5",20437293
"715","COG","Low Income Developing Countries","Sub-Sahara Africa","5",151773
"716","CRI","Emerging Market Economies","Latin America and the Caribbean","5",303690
"717","CIV","Low Income Developing Countries","Sub-Sahara Africa","5",2138716
"718","HRV","Emerging Market Economies","Emerging and Developing Europe","5",204046
"719","CYP","Advanced Economies","Advanced Economies","5",0
"720","CZE","Advanced Economies","Advanced Economies","5",1485384
"721","DNK","Advanced Economies","Advanced Economies","5",562503
"722","DJI","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","5",46855
"723","DMA","Emerging Market Economies","Latin America and the Caribbean","5",6574
"724","DOM","Emerging Market Economies","Latin America and the Caribbean","5",531422
"725","ECU","Emerging Market Economies","Latin America and the Caribbean","5",1033044
"726","EGY","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",15103280
"727","SLV","Emerging Market Economies","Latin America and the Caribbean","5",520331
"728","EST","Advanced Economies","Advanced Economies","5",56874
"729","SWZ","Emerging Market Economies","Sub-Sahara Africa","5",101906
"730","ETH","Low Income Developing Countries","Sub-Sahara Africa","5",9240048
"731","FJI","Emerging Market Economies","Emerging and Developing Asia","5",35258
"732","FIN","Advanced Economies","Advanced Economies","5",196190
"733","FRA","Advanced Economies","Advanced Economies","5",6267826
"734","GAB","Emerging Market Economies","Sub-Sahara Africa","5",75993
"735","GMB","Low Income Developing Countries","Sub-Sahara Africa","5",64673
"736","GEO","Emerging Market Economies","Caucasus and Central Asia","5",185076
"737","DEU","Advanced Economies","Advanced Economies","5",8960697
"738","GHA","Low Income Developing Countries","Sub-Sahara Africa","5",1900859
"739","GRC","Advanced Economies","Advanced Economies","5",718693
"740","GRD","Emerging Market Economies","Latin America and the Caribbean","5",0
"741","GTM","Emerging Market Economies","Latin America and the Caribbean","5",2005368
"742","GIN","Low Income Developing Countries","Sub-Sahara Africa","5",552947
"743","GUY","Emerging Market Economies","Latin America and the Caribbean","5",39573
"744","HTI","Low Income Developing Countries","Latin America and the Caribbean","5",578767
"745","HND","Low Income Developing Countries","Latin America and the Caribbean","5",848994
"746","HKG","Advanced Economies","Advanced Economies","5",598372
"747","HUN","Emerging Market Economies","Emerging and Developing Europe","5",620535
"748","ISL","Advanced Economies","Advanced Economies","5",12760
"749","IND","Emerging Market Economies","Emerging and Developing Asia","5",135608481
"750","IDN","Emerging Market Economies","Emerging and Developing Asia","5",18396048
"751","IRN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",5581386
"752","IRQ","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",3774254
"753","IRL","Advanced Economies","Advanced Economies","5",263593
"754","ISR","Advanced Economies","Advanced Economies","5",0
"755","ITA","Advanced Economies","Advanced Economies","5",4041221
"756","JAM","Emerging Market Economies","Latin America and the Caribbean","5",145694
"757","JPN","Advanced Economies","Advanced Economies","5",9579510
"758","JOR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",552186
"759","KAZ","Emerging Market Economies","Caucasus and Central Asia","5",455650
"760","KEN","Low Income Developing Countries","Sub-Sahara Africa","5",5197588
"761","KOR","Advanced Economies","Advanced Economies","5",4961513
"762","KWT","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",378326
"763","KGZ","Low Income Developing Countries","Caucasus and Central Asia","5",405252
"764","LAO","Low Income Developing Countries","Emerging and Developing Asia","5",822456
"765","LVA","Advanced Economies","Advanced Economies","5",163065
"766","LBN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",419868
"767","LSO","Low Income Developing Countries","Sub-Sahara Africa","5",106688
"768","LBR","Low Income Developing Countries","Sub-Sahara Africa","5",304910
"769","LBY","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",335330
"770","LTU","Advanced Economies","Advanced Economies","5",149983
"771","LUX","Advanced Economies","Advanced Economies","5",30069
"772","MDG","Low Income Developing Countries","Sub-Sahara Africa","5",1945123
"773","MWI","Low Income Developing Countries","Sub-Sahara Africa","5",2153172
"774","MYS","Emerging Market Economies","Emerging and Developing Asia","5",2663318
"775","MLI","Low Income Developing Countries","Sub-Sahara Africa","5",2700200
"776","MLT","Advanced Economies","Advanced Economies","5",45176
"777","MUS","Emerging Market Economies","Sub-Sahara Africa","5",105903
"778","MEX","Emerging Market Economies","Latin America and the Caribbean","5",9075077
"779","MDA","Low Income Developing Countries","Emerging and Developing Europe","5",221633
"780","MNG","Emerging Market Economies","Emerging and Developing Asia","5",82420
"781","MNE","Emerging Market Economies","Emerging and Developing Europe","5",52672
"782","MAR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",3934721
"783","MOZ","Low Income Developing Countries","Sub-Sahara Africa","5",3233787
"784","MMR","Low Income Developing Countries","Emerging and Developing Asia","5",4725592
"785","NAM","Emerging Market Economies","Sub-Sahara Africa","5",232802
"786","NPL","Low Income Developing Countries","Emerging and Developing Asia","5",2636401
"787","NLD","Advanced Economies","Advanced Economies","5",1167274
"788","NZL","Advanced Economies","Advanced Economies","5",207060
"789","NIC","Low Income Developing Countries","Latin America and the Caribbean","5",342259
"790","NER","Low Income Developing Countries","Sub-Sahara Africa","5",2382760
"791","NGA","Low Income Developing Countries","Sub-Sahara Africa","5",18350908
"792","NOR","Advanced Economies","Advanced Economies","5",225287
"793","OMN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",130432
"794","PAK","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","5",26864381
"795","PAN","Emerging Market Economies","Latin America and the Caribbean","5",216893
"796","PNG","Low Income Developing Countries","Emerging and Developing Asia","5",892645
"797","PRY","Emerging Market Economies","Latin America and the Caribbean","5",474735
"798","PER","Emerging Market Economies","Latin America and the Caribbean","5",1487404
"799","PHL","Emerging Market Economies","Emerging and Developing Asia","5",6642935
